"Name","Line: SKU","Line: Quantity","Line: Price","Refund: Created At","Refund: Note","Transaction: Amount"
"#39193","","","","2026-01-11 20:05:58 -0500","不想要了",""
"#39193","","","","2026-01-11 20:05:58 -0500","不想要了","-594.00"
"#39221","BL/GTi13/13900HK/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5欧规","1","858.00","","",""
"#39221","","","","","",""
"#39221","","","0.00","","",""
"#39221","","","","","","858.00"
"#39221","","","","","","858.00"
"#39221","","","","","","918.00"
"#39221","","","","","","853.00"
"#39221","","","","","","853.00"
"#39221","","","","","","853.00"
"#39221","","","","2026-01-12 05:13:37 -0500","",""
"#39221","","","","2026-01-12 05:13:37 -0500","","-853.00"
"#39231","BL/GTi14/185H/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5欧规","1","1018.00","","",""
"#39231","","","","","",""
"#39231","","","0.00","","",""
"#39231","","","","","","1013.00"
"#39231","","","","","","1013.00"
"#39231","","","","","","1013.00"
"#39231","","","","","","1013.00"
"#39231","","","","","","1013.00"
"#39231","","","","","","1013.00"
"#39231","","","","2026-01-26 20:48:40 -0500","不需要了",""
"#39231","","","","2026-01-26 20:48:40 -0500","不需要了","-101.00"
"#39231","","","","2026-01-26 20:49:30 -0500","不需要了 已退货",""
"#39231","","","","2026-01-26 20:49:30 -0500","不需要了 已退货","-912.00"
"#39231","","","","2026-01-26 20:50:59 -0500","不需要了",""
"#39231","","","","2026-01-26 20:50:59 -0500","不需要了","-912.00"
"#39231","","","","2026-01-26 21:11:05 -0500","不需要了",""
"#39231","","","","2026-01-26 21:11:05 -0500","不需要了","-912.00"
"#39247","BL/SER9 PRO/HX370/32G/1TB/深空灰色欧规","1","929.00","","",""
"#39247","","","0.00","","",""
"#39247","","","","","","929.00"
"#39247","","","","2026-01-27 05:07:59 -0500","不想等了不想要了",""
"#39247","","","","2026-01-27 05:07:59 -0500","不想等了不想要了","-929.00"
"#39254","BL/EQ14-D4/N150/16G/500G/2.5G*2/藏青蓝色美规","1","349.00","","",""
"#39254","","","0.00","","",""
"#39254","","","","","","349.00"
"#39254","","","","2026-01-11 20:14:16 -0500","不想要了",""
"#39254","","","","2026-01-11 20:14:16 -0500","不想要了","-349.00"
"#39272","BL-EX/Mate mini-B/冰霜银色","1","139.00","","",""
"#39272","","","0.00","","",""
"#39272","","","","","","139.00"
"#39272","","","","2026-01-09 05:19:09 -0500","不想要了 之后再买",""
"#39272","","","","2026-01-09 05:19:09 -0500","不想要了 之后再买","-139.00"
"#39275","BL/SER9 MAX/255/32G/1TB/深空灰色美规","1","699.00","","",""
"#39275","","","0.00","","",""
"#39275","","","","","","699.00"
"#39275","","","","2026-02-03 22:13:21 -0500","机器故障不开机",""
"#39275","","","","2026-02-03 22:13:21 -0500","机器故障不开机","-699.00"
"#39304","BL/SER9 MAX/255/32G/1TB/深空灰色美规","1","699.00","","",""
"#39304","","","","","",""
"#39304","","","0.00","","",""
"#39304","","","","","","694.00"
"#39304","","","","2026-01-15 20:03:11 -0500","没库存 不愿换型号",""
"#39304","","","","2026-01-15 20:03:11 -0500","没库存 不愿换型号","-694.00"
"#39305","BL/EQi12-D4/1235U/32G/1TB/星河灰美规","2","619.00","","",""
"#39305","","","0.00","","",""
"#39305","","","","","","1238.00"
"#39305","","","","2026-01-14 03:15:46 -0500","亚马逊购买",""
"#39305","","","","2026-01-14 03:15:46 -0500","亚马逊购买","-1238.00"
"#39309","BL/GTi14/185H/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5美规","1","1018.00","","",""
"#39309","","","0.00","","",""
"#39309","","","","","","1018.00"
"#39309","","","","2026-03-24 23:19:00 -0400","退回GTi14",""
"#39309","","","","2026-03-24 23:19:00 -0400","退回GTi14","-839.00"
"#39309","","","","2026-05-11 23:14:46 -0400","拓展坞不想要了",""
"#39309","","","","2026-05-11 23:14:46 -0400","拓展坞不想要了","-179.00"
"#39319","BL/SER9 PRO/HX370/32G/1TB/深空灰色欧规","1","929.00","","",""
"#39319","","","0.00","","",""
"#39319","","","","","","929.00"
"#39319","","","","2026-01-29 04:49:35 -0500","不想等了",""
"#39319","","","","2026-01-29 04:49:35 -0500","不想等了","-929.00"
"#39329","BL/SER9 PRO/HX370/32G/1TB/冰霜银色欧规","1","929.00","","",""
"#39329","","","","","",""
"#39329","","","0.00","","",""
"#39329","","","","","","924.00"
"#39329","","","","2026-03-24 01:40:54 -0400","音频故障问题 退货退款",""
"#39329","","","","2026-03-24 01:40:54 -0400","音频故障问题 退货退款","-924.00"
"#39397","BL/ME Pro/N150/16G/512G/深空灰色欧规","1","529.00","","",""
"#39397","","","","","",""
"#39397","","","0.00","","",""
"#39397","","","","","","524.00"
"#39397","","","","2026-01-27 01:05:49 -0500","不想要了",""
"#39397","","","","2026-01-27 01:05:49 -0500","不想要了","-524.00"
"#39412","BL/GTR9 Pro/395/128G/2TB/冰霜银色美规","1","2399.00","","",""
"#39412","","","0.00","","",""
"#39412","","","","","","2399.00"
"#39412","","","","2026-02-24 20:58:52 -0500","取消订单",""
"#39412","","","","2026-02-24 20:58:52 -0500","取消订单","-2399.00"
"#39444","BL/EQi12-D4/1220P/16G/500G/星河灰澳规","1","329.00","","",""
"#39444","","","","","",""
"#39444","","","0.00","","",""
"#39444","","","","","","324.00"
"#39444","","","","2026-01-22 20:11:37 -0500","无库存 不愿换型号",""
"#39444","","","","2026-01-22 20:11:37 -0500","无库存 不愿换型号","-324.00"
"#39447","BL/ME Pro/N150/16G/512G/深空灰色欧规","1","529.00","","",""
"#39447","","","0.00","","",""
"#39447","","","","","","529.00"
"#39447","","","","2026-03-02 03:51:00 -0500","安装了大容量的HDD可能和机器不兼容会导致机器不启动 没法解决",""
"#39447","","","","2026-03-02 03:51:00 -0500","安装了大容量的HDD可能和机器不兼容会导致机器不启动 没法解决","-529.00"
"#39487","BL/SER9 PRO+/255/32G/1TB/冰霜银色欧规","1","629.00","","",""
"#39487","","","0.00","","",""
"#39487","","","","","","629.00"
"#39487","","","","","","629.00"
"#39487","","","","2026-01-30 22:26:04 -0500","接手朋友的二手机器",""
"#39487","","","","2026-01-30 22:26:04 -0500","接手朋友的二手机器","-629.00"
"#39491","","2","15.00","","",""
"#39491","","","0.00","","",""
"#39491","","","","","","30.00"
"#39491","","","","2026-03-26 21:09:51 -0400","无库存",""
"#39491","","","","2026-03-26 21:09:51 -0400","无库存","-30.00"
"#39493","BL/ME Pro/N150/16G/512G/深空灰色欧规","1","529.00","","",""
"#39493","","","","","",""
"#39493","","","0.00","","",""
"#39493","","","","","","524.00"
"#39493","","","","2026-01-26 01:58:15 -0500","之后再买",""
"#39493","","","","2026-01-26 01:58:15 -0500","之后再买","-524.00"
"#39532","BL/SER9 PRO/HX370/64G/2TB/冰霜银色欧规","1","1329.00","","",""
"#39532","","","0.00","","",""
"#39532","","","","","","1329.00"
"#39532","","","","2026-02-25 02:12:52 -0500","包裹丢失客户退款",""
"#39532","","","","2026-02-25 02:12:52 -0500","包裹丢失客户退款","-1329.00"
"#39535","BL/EQ14-D4/N150/16G/500G/2.5G*2/藏青蓝色欧规","1","369.00","","",""
"#39535","","","0.00","","",""
"#39535","","","","","","369.00"
"#39535","","","","2026-01-18 20:35:01 -0500","CPU未能满足需要",""
"#39535","","","","2026-01-18 20:35:01 -0500","CPU未能满足需要","-369.00"
"#39553","BL/ME mini/N150/16G/1TB/珍珠白色欧规","1","409.00","","",""
"#39553","","","0.00","","",""
"#39553","","","","","","409.00"
"#39553","","","","2026-02-10 03:05:16 -0500","故障 退货退款",""
"#39553","","","","2026-02-10 03:05:16 -0500","故障 退货退款","-409.00"
"#39559","BL/ME Pro/N95/12G/128G/深空灰色英规","1","369.00","","",""
"#39559","","","0.00","","",""
"#39559","","","","","","369.00"
"#39559","","","","2026-01-27 00:59:19 -0500","不想要了",""
"#39559","","","","2026-01-27 00:59:19 -0500","不想要了","-369.00"
"#39577","BL/ME mini/N150/16G/1TB/珍珠白色美规","1","409.00","","",""
"#39577","","","","","",""
"#39577","","","0.00","","",""
"#39577","","","","","","399.00"
"#39577","","","","2026-03-19 05:03:13 -0400","SSD不稳定 退货退款",""
"#39577","","","","2026-03-19 05:03:13 -0400","SSD不稳定 退货退款","-399.00"
"#39584","BL/GTR9 Pro/395/128G/2TB/冰霜银色欧规","1","2399.00","","",""
"#39584","","","","","",""
"#39584","","","0.00","","",""
"#39584","","","","","","2384.00"
"#39584","","","","2026-03-16 22:00:04 -0400","以太网故障 退货退款",""
"#39584","","","","2026-03-16 22:00:04 -0400","以太网故障 退货退款","-2384.00"
"#39650","BL/ME Pro/N95/12G/128G/深空灰色美规","1","369.00","","",""
"#39650","","","","","",""
"#39650","","","0.00","","",""
"#39650","","","","","","364.00"
"#39650","","","","2026-03-05 03:14:44 -0500","登录故障 退货退款",""
"#39650","","","","2026-03-05 03:14:44 -0500","登录故障 退货退款","-364.00"
"#39688","BL/EX/深空灰色/PCIE5美规","1","179.00","","",""
"#39688","","","","","",""
"#39688","","","0.00","","",""
"#39688","","","","","","174.00"
"#39688","","","","","","174.00"
"#39688","","","","","","174.00"
"#39688","","","","2026-02-28 02:00:02 -0500","不符合需求 退货退款",""
"#39688","","","","2026-02-28 02:00:02 -0500","不符合需求 退货退款","-174.00"
"#39706","BL/ME Pro/N150/16G/1TB/深空灰色美规","1","559.00","","",""
"#39706","","","","","",""
"#39706","","","0.00","","",""
"#39706","","","","","","554.00"
"#39706","","","","2026-01-27 01:01:34 -0500","不想要了",""
"#39706","","","","2026-01-27 01:01:34 -0500","不想要了","-554.00"
"#39715","BL/SER9 PRO/HX370/64G/2TB/冰霜银色英规","1","1329.00","","",""
"#39715","","","","","",""
"#39715","","","0.00","","",""
"#39715","","","","","","1324.00"
"#39715","","","","2026-01-30 05:09:20 -0500","停产 不愿换型号 已购买其他",""
"#39715","","","","2026-01-30 05:09:20 -0500","停产 不愿换型号 已购买其他","-1324.00"
"#39725","BL-EX/Mate mini-A/冰霜银色","1","139.00","","",""
"#39725","","","0.00","","",""
"#39725","","","","","","139.00"
"#39725","","","","2026-01-30 04:29:05 -0500","不想要了",""
"#39725","","","","2026-01-30 04:29:05 -0500","不想要了","-139.00"
"#39737","","4","5.00","","",""
"#39737","","","0.00","","",""
"#39737","","","","","","20.00"
"#39737","","","","2026-01-23 03:52:47 -0500","缺货",""
"#39737","","","","2026-01-23 03:52:47 -0500","缺货","-20.00"
"#39774","","2","15.00","","",""
"#39774","","3","100.00","","",""
"#39774","","","0.00","","",""
"#39774","","","","","","330.00"
"#39774","","","","2026-03-10 21:14:48 -0400","换成SEi13",""
"#39774","","","","2026-03-10 21:14:48 -0400","换成SEi13","-330.00"
"#39776","BL/SER9 MAX/255/32G/1TB/冰霜银色美规","1","699.00","","",""
"#39776","","","","","",""
"#39776","","","0.00","","",""
"#39776","","","","","","694.00"
"#39776","","","","2026-01-22 20:14:29 -0500","亚马逊购买",""
"#39776","","","","2026-01-22 20:14:29 -0500","亚马逊购买","-694.00"
"#39779","BL-EX/Mate Studio-A/冰霜银色","1","129.00","","",""
"#39779","","","0.00","","",""
"#39779","","","","","","129.00"
"#39779","","","","","","129.00"
"#39779","","","","2026-01-22 20:43:35 -0500","不想等了 不想要了",""
"#39779","","","","2026-01-22 20:43:35 -0500","不想等了 不想要了","-129.00"
"#39833","BL/EQR6-LP/6600U/24G/500G/星河灰美规","1","499.00","","",""
"#39833","","","0.00","","",""
"#39833","","","","","","499.00"
"#39833","","","","2026-01-26 01:55:37 -0500","旧机器SER5已经有用了",""
"#39833","","","","2026-01-26 01:55:37 -0500","旧机器SER5已经有用了","-499.00"
"#39835","BL/ME mini/N150/16G/1TB/珍珠白色欧规","1","469.00","","",""
"#39835","","","0.00","","",""
"#39835","","","","","","469.00"
"#39835","","","","2026-01-29 04:41:29 -0500","地址偏远 海外仓无渠道发",""
"#39835","","","","2026-01-29 04:41:29 -0500","地址偏远 海外仓无渠道发","-469.00"
"#39880","BL/ME Pro/N150/16G/512G/深空灰色英规","1","529.00","","",""
"#39880","","","0.00","","",""
"#39880","","","","","","529.00"
"#39880","","","","2026-02-14 09:23:16 -0500","找到其他解决办法",""
"#39880","","","","2026-02-14 09:23:16 -0500","找到其他解决办法","-529.00"
"#39890","BL/SER9 MAX/255/64G/1TB/深空灰色欧规","1","969.00","","",""
"#39890","","","0.00","","",""
"#39890","","","","","","969.00"
"#39890","","","","2026-03-04 04:39:33 -0500","退货退款",""
"#39890","","","","2026-03-04 04:39:33 -0500","退货退款","-969.00"
"#39907","BL/EQR7-LP/7735U/32G/1TB/星河灰美规","1","499.00","","",""
"#39907","","","0.00","","",""
"#39907","","","","","","499.00"
"#39907","","","","2026-01-28 21:34:38 -0500","换型号6600 ",""
"#39907","","","","2026-01-28 21:34:38 -0500","换型号6600 ","-20.00"
"#39907","","","","2026-02-05 20:21:19 -0500","不想等了",""
"#39907","","","","2026-02-05 20:21:19 -0500","不想等了","-479.00"
"#39915","BL/SER9 PRO/HX370/64G/2TB/冰霜银色美规","1","1329.00","","",""
"#39915","","","0.00","","",""
"#39915","","","","","","1329.00"
"#39915","","","","2026-01-29 04:27:43 -0500","",""
"#39915","","","","2026-01-29 04:27:43 -0500","","-1329.00"
"#39924","BL/SER9 PRO/HX370/32G/1TB/冰霜银色英规","1","929.00","","",""
"#39924","","","","","",""
"#39924","","","0.00","","",""
"#39924","","","","","","924.00"
"#39924","","","","2026-01-27 05:09:27 -0500","再考虑下是否买新品",""
"#39924","","","","2026-01-27 05:09:27 -0500","再考虑下是否买新品","-924.00"
"#39938","BL/ME mini/N150/16G/1TB/珍珠白色美规","1","469.00","","",""
"#39938","","","0.00","","",""
"#39938","","","","","","469.00"
"#39938","","","","2026-02-03 05:25:40 -0500","不再需要",""
"#39938","","","","2026-02-03 05:25:40 -0500","不再需要","-469.00"
"#39947","BL/ME Pro/N95/12G/128G/深空灰色欧规","1","369.00","","",""
"#39947","","","0.00","","",""
"#39947","","","","","","369.00"
"#39947","","","","2026-02-02 06:55:45 -0500","不喜欢焊接内存",""
"#39947","","","","2026-02-02 06:55:45 -0500","不喜欢焊接内存","-369.00"
"#39966","BL/GTi14/185H/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5欧规","1","1018.00","","",""
"#39966","","","","","",""
"#39966","","","0.00","","",""
"#39966","","","","","","1013.00"
"#39966","","","","2026-01-28 20:13:57 -0500","购买其他型号",""
"#39966","","","","2026-01-28 20:13:57 -0500","购买其他型号","-1013.00"
"#40028","BL/SER9 MAX/255/32G/1TB/深空灰色美规","1","699.00","","",""
"#40028","","","0.00","","",""
"#40028","","","","","","699.00"
"#40028","","","","2026-02-08 22:05:10 -0500","高风险客户不提供资料",""
"#40028","","","","2026-02-08 22:05:10 -0500","高风险客户不提供资料","-699.00"
"#40034","BL/GTR9 Pro/395/128G/2TB/冰霜银色美规","1","2499.00","","",""
"#40034","","","0.00","","",""
"#40034","","","","","","2499.00"
"#40034","","","","2026-02-04 04:31:27 -0500","找到更便宜的了",""
"#40034","","","","2026-02-04 04:31:27 -0500","找到更便宜的了","-2499.00"
"#40042","Accessories-1","30","1.00","","",""
"#40042","","","0.00","","",""
"#40042","","","","","","30.00"
"#40042","","","","2026-01-28 22:37:51 -0500","还在保修期 无需购买配件",""
"#40042","","","","2026-01-28 22:37:51 -0500","还在保修期 无需购买配件","-30.00"
"#40059","BL/GTi15/285H/64G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5美规","1","1368.00","","",""
"#40059","","","0.00","","",""
"#40059","","","","","","1368.00"
"#40059","","","","2026-02-03 05:22:41 -0500","经济出现状况",""
"#40059","","","","2026-02-03 05:22:41 -0500","经济出现状况","-1368.00"
"#40060","BL/GTR9 Pro/395/128G/2TB/冰霜银色英规","1","2499.00","","",""
"#40060","","","0.00","","",""
"#40060","","","","","","2499.00"
"#40060","","","","2026-03-06 02:43:41 -0500","找不到网卡",""
"#40060","","","","2026-03-06 02:43:41 -0500","找不到网卡","-2499.00"
"#40062","BL/GTi13/13900HK/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5美规","1","898.00","","",""
"#40062","","","0.00","","",""
"#40062","","","","","","898.00"
"#40062","","","","","","898.00"
"#40062","","","","2026-01-30 22:29:20 -0500","",""
"#40062","","","","2026-01-30 22:29:20 -0500","","-898.00"
"#40088","BL/ME mini/N150/16G/1TB/珍珠白色美规","1","469.00","","",""
"#40088","","","","","",""
"#40088","","","0.00","","",""
"#40088","","","","","","464.00"
"#40088","","","","2026-01-30 04:33:33 -0500","对SSD功率限制有顾虑",""
"#40088","","","","2026-01-30 04:33:33 -0500","对SSD功率限制有顾虑","-464.00"
"#40106","","2","5.00","","",""
"#40106","","","0.00","","",""
"#40106","","","","","","10.00"
"#40106","","","","2026-02-28 03:04:52 -0500","不想要了",""
"#40106","","","","2026-02-28 03:04:52 -0500","不想要了","-10.00"
"#40131","BL/GTi14/185H/64G/2TB/冰霜银色+BL/EX/深空灰色/PCIE5欧规","1","1268.00","","",""
"#40131","","","0.00","","",""
"#40131","","","","","","1268.00"
"#40131","","","","","","1268.00"
"#40131","","","","2026-02-04 22:15:04 -0500","换型号GTi13",""
"#40131","","","","2026-02-04 22:15:04 -0500","换型号GTi13","-1268.00"
"#40174","BL/SER9 PRO/HX370/32G/1TB/深空灰色美规","1","929.00","","",""
"#40174","","","0.00","","",""
"#40174","","","","","","929.00"
"#40174","","","","2026-02-25 02:08:05 -0500","因对机器性能不满意退货退款",""
"#40174","","","","2026-02-25 02:08:05 -0500","因对机器性能不满意退货退款","-929.00"
"#40184","BL/GTR9 Pro/395/128G/2TB/冰霜银色欧规","1","2499.00","","",""
"#40184","","","","","",""
"#40184","","","0.00","","",""
"#40184","","","","","","2494.00"
"#40184","","","","2026-02-04 20:27:22 -0500","不想要了",""
"#40184","","","","2026-02-04 20:27:22 -0500","不想要了","-2494.00"
"#40204","BL/SER9 PRO+/255/32G/1TB/冰霜银色美规","1","729.00","","",""
"#40204","","","0.00","","",""
"#40204","","","","","","729.00"
"#40204","","","","2026-02-04 20:22:08 -0500","找到更好的选择",""
"#40204","","","","2026-02-04 20:22:08 -0500","找到更好的选择","-729.00"
"#40220","BL/GTR9 Pro/395/128G/2TB/冰霜银色欧规","1","2499.00","","",""
"#40220","","","0.00","","",""
"#40220","","","","","","2499.00"
"#40220","","","","2026-02-09 20:58:48 -0500","不符合需求",""
"#40220","","","","2026-02-09 20:58:48 -0500","不符合需求","-2499.00"
"#40232","BL/SER9 PRO/HX370/64G/2TB/冰霜银色美规","1","1329.00","","",""
"#40232","","","","","",""
"#40232","","","0.00","","",""
"#40232","","","","","","1314.00"
"#40232","","","","2026-02-04 20:29:20 -0500","生日已过不再需要",""
"#40232","","","","2026-02-04 20:29:20 -0500","生日已过不再需要","-1314.00"
"#40248","BL/EX/深空灰色/PCIE5美规","1","179.00","","",""
"#40248","BL/GTi13/13900HK/32G/1TB/冰霜银色美规","1","779.00","","",""
"#40248","","","","","",""
"#40248","","","0.00","","",""
"#40248","","","","","","898.00"
"#40248","","","","2026-02-04 20:20:52 -0500","不再需要",""
"#40248","","","","2026-02-04 20:20:52 -0500","不再需要","-898.00"
"#40283","BL/Mate SE-A/冰霜银色","1","139.00","","",""
"#40283","BL/SER9 PRO/HX370/32G/1TB/冰霜银色欧规","1","929.00","","",""
"#40283","","","","","",""
"#40283","","","0.00","","",""
"#40283","","","","","","1048.00"
"#40283","","","","2026-02-06 05:03:03 -0500","不想要了",""
"#40283","","","","2026-02-06 05:03:03 -0500","不想要了","-1048.00"
"#40289","BL/GTi14/185H/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5美规","1","1018.00","","",""
"#40289","","","","","",""
"#40289","","","0.00","","",""
"#40289","","","","","","1003.00"
"#40289","","","","2026-03-11 03:58:08 -0400","丢件退款",""
"#40289","","","","2026-03-11 03:58:08 -0400","丢件退款","-1003.00"
"#40292","BL/ME mini/N95/16G/64G/极夜灰色欧规","1","269.00","","",""
"#40292","","","0.00","","",""
"#40292","","","","","","269.00"
"#40292","","","","2026-04-14 22:34:57 -0400","不想要了",""
"#40292","","","","2026-04-14 22:34:57 -0400","不想要了","-269.00"
"#40294","BL/GTi13/13900HK/32G/1TB/冰霜银色+BL/EX/深空灰色/PCIE5欧规","1","898.00","","",""
"#40294","","","","","",""
"#40294","","","0.00","","",""
"#40294","","","","","","893.00"
"#40294","","","","2026-02-11 12:25:32 -0500","不想要了",""
"#40294","","","","2026-02-11 12:25:32 -0500","不想要了","-893.00"
"#40310","BL/ME mini/N95/16G/64G/极夜灰色美规","1","269.00","","",""
"#40310","","","0.00","","",""
"#40310","","","","","","269.00"
"#40310","","","","2026-03-16 02:58:09 -0400","插4块ssd掉盘 ",""
"#40310","","","","2026-03-16 02:58:09 -0400","插4块ssd掉盘 ","-269.00"
"#40324","BL/ME Pro/N150/16G/1TB/深空灰色欧规","1","529.00","","",""
"#40324","","","0.00","","",""
"#40324","","","","","","529.00"
"#40324","","","","2026-03-04 02:21:22 -0500","不符合预期",""
"#40324","","","","2026-03-04 02:21:22 -0500","不符合预期","-529.00"
"#40334","BL/EQR6-LP/6600U/32G/1TB/星河灰美规","1","479.00","","",""
"#40334","","","0.00","","",""
"#40334","","","","","","479.00"
"#40334","","","","2026-05-11 22:40:50 -0400","性能不满足需求",""
"#40334","","","","2026-05-11 22:40:50 -0400","性能不满足需求","-479.00"
